Topic,Topic Mask,Type,Properties,Period,QOS,Expiry,Flags,Function,Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Notes
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,0,1,0,,,,,,Oil pressure kPa
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,1,1,0,,,,,,Coolant temp degC
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,2,1,0,,,,,,Oil temp degC
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,3,1,0,,,,,,Fuel level percent
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,5,1,0,,,,,,Battery voltage 0.1V
%GROUP%/%TYPE%/%UID%/engine,,P,,120,0,,,1,4,6,1,0,,,,,,Engine speed RPM
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,7,1,0,,,,,,Generator frequency 0.1Hz
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,8,2,0,,,,,,Gen L1-N voltage 0.1V
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,10,2,0,,,,,,Gen L2-N voltage 0.1V
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,12,2,0,,,,,,Gen L3-N voltage 0.1V
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,20,2,0,,,,,,Gen L1 current 0.1A
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,22,2,0,,,,,,Gen L2 current 0.1A
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,24,2,0,,,,,,Gen L3 current 0.1A
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,28,2,0,,,,,,Gen L1 watts
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,30,2,0,,,,,,Gen L2 watts
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,32,2,0,,,,,,Gen L3 watts
%GROUP%/%TYPE%/%UID%/generator,,P,,120,0,,,1,4,34,2,0,,,,,,Gen total watts
%GROUP%/%TYPE%/%UID%/hours,,P,,1200,0,,,1,7,6,2,0,,,,,,Run hours seconds
%GROUP%/%TYPE%/%UID%/hours,,P,,120,0,,,1,7,4,2,0,,,,,,Generator total energy kWh
%GROUP%/%TYPE%/%UID%/hours,,P,,1200,0,,,1,7,16,2,0,,,,,,Number of starts
%GROUP%/%TYPE%/%UID%/alarm,,P,,300,1,,,4,5,0,2,0,,,,,,Alarm status
%GROUP%/%TYPE%/%UID%/control,,S,,,1,,,3,16,8,2,0,,,,,,Control
